permutation,error_mean,error_best,error_std,individual_trials
"(0, 1, 2, 3, 4)",3.3779734758206628,2.04923022553064,1.0741213049723082,"[7.975748797016279, 3.055110417890003, 2.7066940176886978, 3.398802989946359, 3.907595944445077, 3.938938569419907, 3.9403036058510983, 3.7092325716983665, 3.169965626399555, 5.160187351226582, 2.870623295022032, 2.7403905142131895, 2.838593321738281, 2.745831026800627, 2.402847502279861, 2.2536968683775447, 2.963551320621014, 3.8276970472585607, 2.9617082012057274, 2.535104867866504, 3.60649331750517, 2.3028753386339305, 3.0627580352463823, 3.264661424868418, 3.128860763073918, 3.360997534804752, 2.04923022553064, 3.730862515047957, 3.638384471419927, 4.091456791523533]"
"(0, 1, 2, 4, 3)",3.197436252050714,1.8563765189883985,0.8092782118621957,"[5.938037944822168, 2.396097828965536, 2.510874944600197, 2.255584470665896, 3.4547033273619485, 3.8100707851214946, 3.433501192932875, 4.775678556979785, 2.9181527214198093, 4.395122836501329, 3.274464741105424, 3.5026485374085947, 2.6328272223972395, 2.7630213274838273, 2.9281424680592054, 2.546240593830694, 3.451576725678938, 2.7980541740792004, 3.9212669526291997, 2.252621846711682, 3.0218034513431387, 1.8563765189883985, 3.0591373279325644, 3.558469305814525, 3.0149087010863553, 3.3878389054083744, 2.529341711151812, 2.802969675997715, 3.670431477964965, 3.0631212870785127]"
"(0, 1, 3, 2, 4)",3.32079755642507,2.277114916468563,0.6651961081902663,"[5.158569312024474, 2.9142630442968915, 2.819883405098099, 3.2046977342198386, 3.734466230305213, 3.66701901518577, 3.289786984468821, 3.552143108915838, 3.2812588143603603, 4.0124231869301275, 3.887559498408726, 2.3471473807391585, 3.8394316720501114, 4.622958517555574, 3.103957237775663, 3.4247041783467593, 3.1319134881722106, 2.782872225615348, 2.466659622685441, 2.277114916468563, 3.2591146049242097, 2.5578854117259167, 3.4354708877487794, 3.2232877371968853, 3.469044922374581, 2.6629246269923628, 2.431718026972202, 2.932307279014235, 4.277985807590644, 3.855357814589278]"
"(0, 1, 3, 4, 2)",3.3778903750250624,2.5866633074224508,0.7121910377140648,"[5.591463145076583, 3.071432888115044, 2.8908827519360156, 2.590077961669719, 3.2388894082445447, 3.3091751585669797, 3.817155657111077, 3.2303367257909312, 3.309588840480981, 4.374300108182457, 4.0197649666038, 4.931341646398065, 2.7503376126024253, 2.648971132637542, 2.613085665473653, 3.1037842781592584, 3.145497742279349, 2.797870791475658, 3.6659381948322074, 3.314429251793222, 3.3655464740318544, 2.7603663874731623, 3.629735581614569, 3.682080842222328, 2.9596637560528434, 2.780573356996983, 2.826960845398545, 2.5866633074224508, 4.136469420069525, 4.194327352040098]"
"(0, 1, 4, 2, 3)",3.282858050790776,1.9392849269351506,1.372714865685284,"[5.347601890980861, 2.370306797497863, 3.056762608596408, 2.3334541902162442, 3.635968426211354, 3.161015160668333, 2.546293227713536, 2.6260031601562592, 3.88978123792104, 3.624282413042754, 2.707997640563346, 2.1663018436013477, 2.891716288581584, 2.985217833495676, 2.740370461836922, 2.629608200321828, 2.514264774392988, 2.7989065941856324, 9.518498415586356, 2.229302761760516, 3.0863022903936144, 2.4006521631215936, 3.2939260526553564, 3.5455978558590378, 3.1489732875763115, 3.075108134352191, 1.9392849269351506, 3.3018270024491625, 4.4777119443457485, 4.442703938704281]"
"(0, 1, 4, 3, 2)",3.3951837837185312,2.0234279730339564,0.746186227066889,"[4.43824647260197, 2.5977058287045893, 3.448499834033138, 2.1688165707852107, 4.306412499787098, 2.9968693291109543, 3.296464762580171, 3.0636118344157155, 3.485437806378915, 4.28033320414627, 3.4136909088221126, 2.2260582224571075, 4.5924308008304955, 3.048650283868672, 4.918660011284906, 2.7420985224352172, 3.2228531990857547, 3.495479398704939, 3.204267297717518, 2.4914320287839584, 3.3346604599907272, 2.0234279730339564, 3.0257830994711834, 3.7056415855952736, 3.5223021706472424, 4.389279767464407, 2.5873040974066432, 3.923048337708164, 3.5435775350007543, 4.3624696687028965]"
"(0, 2, 1, 3, 4)",3.1535425245122553,1.693931115253895,0.8183315043997154,"[4.019106506782657, 2.2007264558456474, 3.2528734956678425, 2.09555616315856, 2.7659515369920973, 3.3430606865066292, 2.758481088942674, 2.8980122744432, 3.8632865889399137, 3.777648591351577, 3.478561028668774, 2.922381857930479, 5.057266343721502, 4.4727894168988716, 3.003904546242204, 2.626265505120736, 2.863012968338019, 2.9714139902185543, 3.2766636751685603, 2.125749295883482, 2.7139483524639396, 2.010309714926236, 3.0298623225531807, 2.8345341830025754, 2.755280326503905, 2.6094765308347827, 1.693931115253895, 4.565773357854026, 4.552322556662193, 4.068125258490948]"
"(0, 2, 1, 4, 3)",2.903796786131544,1.8517627111855137,0.6201393714606726,"[3.9369477310209797, 2.9681197765374225, 3.3768967422101617, 2.0663639598366013, 2.8977665586702606, 3.2144093197186034, 2.0779020012794542, 3.2497436628820853, 2.68820983491018, 3.5572520935230485, 2.9702815599267396, 2.953646205287686, 2.9859023535651863, 4.615030151139043, 2.2543719263655584, 2.652145058993999, 2.2790186058771758, 3.1663079225840045, 2.840245152420326, 2.6528189158301703, 2.784224606113436, 1.8677046830206077, 3.440890604422843, 3.180809600790749, 2.559512880676948, 2.1619849626502505, 1.8517627111855137, 3.1053650932224808, 3.8762815206109433, 2.881987388673868]"
"(0, 2, 3, 1, 4)",3.2977435788046985,2.089901550665343,0.6268422547706032,"[4.144271523196269, 2.534015566105496, 3.1499042758010365, 3.2356920607688795, 3.128956906472586, 3.468592889486357, 3.0953960070694264, 3.3251528641312733, 2.9690858083329177, 4.469299523747782, 3.327767666907514, 3.145999580512736, 3.6159021460236467, 4.381962038851625, 3.114606333069845, 2.510279182422843, 3.469485122963924, 3.4544966566806794, 3.5847841554055098, 2.833246398304534, 4.004427275254123, 2.36014543294748, 3.5848733580264645, 3.2040134686497743, 2.6762762591900975, 2.5128158657061093, 2.089901550665343, 4.602141532380869, 4.134441752586388, 2.804374162479428]"
"(0, 2, 3, 4, 1)",3.224606111261357,1.8045898751712226,0.5459184120820033,"[4.27775248625488, 2.731398866682458, 3.6841416154423876, 2.547340079174293, 3.13254567848124, 3.5141921156009253, 3.5785554993738127, 3.216092422502217, 3.129321720699919, 4.264281484797544, 2.9382704216945488, 2.7018670624950976, 3.029551759954996, 2.81841486195552, 3.410414678982836, 3.364736077911694, 2.575781538006677, 3.2094667113164514, 3.7094522956605944, 3.2093437349330736, 2.9398734638337363, 1.8045898751712226, 2.748551025038252, 3.8312858062991837, 3.0907376652072993, 2.6172166290568586, 3.319314454850935, 3.938490093947569, 4.081625878409603, 3.323577334104896]"
