,method,mean_error,min_error,num_thresh,num_params
0,Forest kmeans,11.469600817837696,11.346982298237753,5,1321.0
1,Forest quantile,10.714107384686692,10.71410671721231,5,950.0
2,Data kmeans,17.249096563943727,16.697407427553713,5,1708.0
3,Data uniform,25.23977442626743,25.232289078315826,5,1555.0
4,Data quantile,12.17210455245004,12.139987178533008,5,1000.0
5,Forest kmeans,4.916415949834109,4.705278957252861,10,2810.0
6,Forest quantile,8.267413118772124,7.624910824155107,10,2100.0
7,Data kmeans,9.361487201334032,9.083971033129329,10,2840.0
8,Data uniform,14.023704112241372,13.810685474694262,10,2481.0
9,Data quantile,7.033533127259541,5.959763254812585,10,2100.0
10,Forest kmeans,4.518855940879046,3.6448831655657754,15,3510.0
11,Forest quantile,4.619073483830511,4.20714889102249,15,2800.0
12,Data kmeans,3.624079003183555,3.223559412309575,15,3440.0
13,Data uniform,12.039437003702492,11.475969595948921,15,2621.0
14,Data quantile,3.7756225772758913,3.354401388991527,15,2600.0
15,Forest kmeans,2.683507919615709,2.1213361258410095,20,4090.0
16,Forest quantile,4.236249805261536,3.2957466969650726,20,3590.0
17,Data kmeans,2.381816584438912,1.948600874833814,20,4020.0
18,Data uniform,18.07602461525073,17.678170437549134,20,2621.0
19,Data quantile,2.6072338351956605,2.2341616975334797,20,3060.0
20,Forest kmeans,2.498967921247436,2.020965145557105,25,4680.0
21,Forest quantile,3.95431085566097,3.368771516690644,25,4130.0
22,Data kmeans,3.351981155713905,2.77590481203118,25,4570.0
23,Data uniform,15.807218659427196,15.278355151870239,25,2621.0
24,Data quantile,2.7804532086888645,2.450541371409298,25,3530.0
25,Forest kmeans,2.231775919877134,1.5490274967071764,30,5040.0
26,Forest quantile,2.9741193738998986,2.7137384986658435,30,4620.0
27,Data kmeans,2.742849682856118,1.841300006118021,30,4850.0
28,Data uniform,19.83233547383089,19.39613227192954,30,2621.0
29,Data quantile,3.8081147991005615,2.4003000465682596,30,3780.0
30,Forest kmeans,2.555412127935969,2.2147832671003664,35,5620.0
31,Forest quantile,2.9713163392809823,2.627253455072566,35,5170.0
32,Data kmeans,2.758664747199967,2.4106958993674774,35,4870.0
33,Data uniform,16.32913377669327,15.546946100618662,35,2621.0
34,Data quantile,2.6164364847783124,1.9826291564341512,35,3630.0
35,Forest kmeans,2.403202927706853,1.8785653858224998,40,6160.0
36,Forest quantile,4.468880080774465,3.8257944583053134,40,5830.0
37,Data kmeans,1.9696838737944704,1.7191781965189874,40,4940.0
38,Data uniform,29.566988076453544,29.3301441406503,40,2186.0
39,Data quantile,3.1979522766327917,2.978658431624964,40,4180.0
40,Forest kmeans,2.6511982449044047,2.3164697677680697,45,6500.0
41,Forest quantile,3.8298873453516618,3.227560714958909,45,6010.0
42,Data kmeans,3.1947822238142267,2.4822548806698754,45,4960.0
43,Data uniform,14.068067907089596,13.276665788174775,45,2621.0
44,Data quantile,1.8104712998951031,1.5522114171742758,45,4150.0
45,Forest kmeans,2.3452525316918353,1.8353500345718488,50,6770.0
46,Forest quantile,2.936581985255819,2.6055545164431426,50,6060.0
47,Data kmeans,4.202316415674435,3.9545940735543885,50,4800.0
48,Data uniform,15.159156110423995,14.81446176072137,50,2621.0
49,Data quantile,2.545544286470125,1.9629663302296998,50,4200.0
